1, John Dee Humphrey, jdhumphrey@hotmail.com, USA.
2, Mark Mathew Van, markmv@gmail.com , Netherland.
3, Simon Hood Bay, simohb@ymail.com , Dubai.
4, Zeshan Tarah Meek, zeshantm@aol.com, Pakistan
5, Andrew Peter Teek, apt@yahoo.com,  Johannesburg
6, Daniel Vague Dew, danieldewa2@gmail.com ,Australia
7, Samantha Davis , samanthadavis@bt.net , United Kingdom
8, Marilyn Sandra Meek, sandramm@yahoo.co.uk, United kingdom
9, Dr. Hogan Johan, jhogan@aol.com, USA
10, Sir. Samuel Baker, Bsamuel@gmail.com, Scotland
11, Albert cook Hans, albcook@botsnet.bw , Botswana
12, Mrs.Diana  Patrick, dianapa@ke.com,  Kenya
13, Velamina Gutters Joe, vgutters@itynets.com ,Italy
14, Henko Vanberg, vanhenko@yahoo.cn , China
15, Filipinos Matthias Ananias, matthiaas@gmail.com, USA
16, Benson Moran Duff, mdbenson@hotmail.com, Dubai
17,  Hudson Pele Cole, hpele@yahoo.com , France
18, Robison George Bob, robigeo@gmail.au , Australia
19, Gerald Smith Newell, gsmith@hotmail.com , India
20,  Stephen R. Covey, rcovry@oal.com, USA
21, Warren Bennis , wbennis@yahoo.co.uk ,United Kingdom
22, Norman Vincent Peale, normanvn@ymail.com , Russia
23, Marie Osmond , mosmond@gmail.com, Dubai
24, Charles Garfield , cgarfield@btnet.uk , United Kingdom
25, James C. Fletcher , cfletcher@mail.com , Russia
