Daniel Vague Dew,danieldewa2@gmail.com,Australia
Robison George Bob,robigeo@gmail.au,Australia
Albert cook Hans,albcook@botsnet.bw,Botswana
Henko Vanberg,vanhenko@yahoo.cn,China
Marie Osmond,mosmond@gmail.com,Dubai
Benson Moran Duff,mdbenson@hotmail.com,Dubai
Simon Hood Bay,simohb@ymail.com,Dubai.
Hudson Pele Cole,hpele@yahoo.com,France
Gerald Smith Newell,gsmith@hotmail.com,India
Velamina Gutters Joe,vgutters@itynets.com,Italy
Andrew Peter Teek,apt@yahoo.com,Johannesburg
Mrs.Diana  Patrick,dianapa@ke.com,Kenya
Mark Mathew Van,markmv@gmail.com,Netherland.
Zeshan Tarah Meek,zeshantm@aol.com,Pakistan
Norman Vincent Peale,normanvn@ymail.com,Russia
James C. Fletcher,cfletcher@mail.com,Russia
Sir. Samuel Baker,Bsamuel@gmail.com,Scotland
Dr. Hogan Johan,jhogan@aol.com,USA
Stephen R. Covey,rcovry@oal.com,USA
Filipinos Matthias Ananias,matthiaas@gmail.com,USA
John Dee Humphrey,jdhumphrey@hotmail.com,USA.
Charles Garfield,cgarfield@btnet.uk,United Kingdom
Warren Bennis,wbennis@yahoo.co.uk,United Kingdom
Samantha Davis,samanthadavis@bt.net,United Kingdom
Marilyn Sandra Meek,sandramm@yahoo.co.uk,United kingdom
